",Year,tavg,tmin,tmax,prcp,wspd,pres,temp_range"
"0,2015,22.659009393680616,18.03283518360376,28.3198975234842,3.0063193851409054,10.00465414175918,1015.8666524338172,10.287062339880443"
"1,2016,23.09421112372304,18.68149829738933,28.3816685584563,2.3241203178206584,11.43456299659478,1016.0288308740068,9.700170261066972"
"2,2017,22.15127008812857,17.500881285640226,27.770036288232244,1.8631415241057545,11.44919647485744,1016.9124416796268,10.269155002592019"
"3,2018,21.30985086342229,16.772056514913658,26.59050235478807,2.195094191522763,10.012087912087912,1017.0640894819466,9.818445839874414"
"4,2019,21.357889641819945,16.634979025492097,26.586866731203614,2.482252339464343,9.37508873830268,1016.5175540496934,9.951887705711517"
"5,2020,20.993829996718084,16.707942238267147,26.026517886445685,6.348506727929111,9.344699704627502,1016.6163111256974,9.318575648178538"
"6,2021,20.76988808227465,16.153206291591047,26.441424682395645,2.2864337568058075,9.797096188747732,1015.3399122807018,10.288218390804598"
"7,2022,20.70435411543469,15.910747866338784,26.545334876319977,2.256878345146825,9.551931144221031,1015.1149573267757,10.634587009981193"
"8,2023,21.23746214852199,16.381038211968278,27.19351117519827,3.045493871665465,10.32196106705119,1015.558731074261,10.812472963229993"
"9,2024,21.465541922290388,16.704192229038853,27.406208004674266,3.349386503067485,9.826088226701724,1015.6346333625474,10.702015775635413"
"10,2025,20.987047924461077,16.14069125244967,27.0283983609478,3.0891501870657403,10.911598075895244,1015.846962408694,10.88770710849813"
