",Crop,Element,Year,Production"
"371,Carrots and turnips,Production,2015,112027.0"
"374,Carrots and turnips,Production,2016,110946.0"
"377,Carrots and turnips,Production,2017,199584.35"
"380,Carrots and turnips,Production,2018,239542.42"
"383,Carrots and turnips,Production,2019,329024.62"
"386,Carrots and turnips,Production,2020,87823.0"
"389,Carrots and turnips,Production,2021,97337.0"
"392,Carrots and turnips,Production,2022,93964.76"
"395,Carrots and turnips,Production,2023,92202.0"
"398,Carrots and turnips,Production,2024,81871.0"
