",Crop,Element,Year,Production,Rainfall,Temperature"
"0,Maize (corn),Production,2015,3825000.0,17.602,22.659009393680616"
"1,Maize (corn),Production,2016,3339000.0,10.23775,23.09421112372304"
"2,Maize (corn),Production,2017,3186000.0,8.985,22.15127008812857"
"3,Maize (corn),Production,2018,4013777.44,13.98275,21.30985086342229"
"4,Maize (corn),Production,2019,3582000.0,19.23125,21.357889641819945"
"5,Maize (corn),Production,2020,3789000.0,48.359750000000005,20.993829996718084"
"6,Maize (corn),Production,2021,3304430.0,37.79475,20.76988808227465"
"7,Maize (corn),Production,2022,3082220.0,39.00449999999999,20.70435411543469"
"8,Maize (corn),Production,2023,4285206.0,52.80125,21.23746214852199"
"9,Maize (corn),Production,2024,4023000.0,57.32475000000001,21.465541922290388"
"10,""Beans, dry"",Production,2015,765000.0,17.602,22.659009393680616"
"11,""Beans, dry"",Production,2016,728160.0,10.23775,23.09421112372304"
"12,""Beans, dry"",Production,2017,846000.0,8.985,22.15127008812857"
"13,""Beans, dry"",Production,2018,837000.0,13.98275,21.30985086342229"
"14,""Beans, dry"",Production,2019,747000.0,19.23125,21.357889641819945"
"15,""Beans, dry"",Production,2020,774365.67,48.359750000000005,20.993829996718084"
"16,""Beans, dry"",Production,2021,668916.0,37.79475,20.76988808227465"
"17,""Beans, dry"",Production,2022,750120.0,39.00449999999999,20.70435411543469"
"18,""Beans, dry"",Production,2023,860973.0,52.80125,21.23746214852199"
"19,""Beans, dry"",Production,2024,903850.98,57.32475000000001,21.465541922290388"
"20,Potatoes,Production,2015,1963495.0,17.602,22.659009393680616"
"21,Potatoes,Production,2016,1335882.87,10.23775,23.09421112372304"
"22,Potatoes,Production,2017,1519870.0,8.985,22.15127008812857"
"23,Potatoes,Production,2018,1870375.48,13.98275,21.30985086342229"
"24,Potatoes,Production,2019,1978952.0,19.23125,21.357889641819945"
"25,Potatoes,Production,2020,1859776.0,48.359750000000005,20.993829996718084"
"26,Potatoes,Production,2021,2107824.0,37.79475,20.76988808227465"
"27,Potatoes,Production,2022,1831809.0,39.00449999999999,20.70435411543469"
"28,Potatoes,Production,2023,2309913.0,52.80125,21.23746214852199"
"29,Potatoes,Production,2024,2188110.04,57.32475000000001,21.465541922290388"
"30,Sorghum,Production,2015,189000.0,17.602,22.659009393680616"
"31,Sorghum,Production,2016,117000.0,10.23775,23.09421112372304"
"32,Sorghum,Production,2017,144000.0,8.985,22.15127008812857"
"33,Sorghum,Production,2018,189000.0,13.98275,21.30985086342229"
"34,Sorghum,Production,2019,288000.0,19.23125,21.357889641819945"
"35,Sorghum,Production,2020,315000.0,48.359750000000005,20.993829996718084"
"36,Sorghum,Production,2021,138901.0,37.79475,20.76988808227465"
"37,Sorghum,Production,2022,120420.0,39.00449999999999,20.70435411543469"
"38,Sorghum,Production,2023,198921.0,52.80125,21.23746214852199"
"39,Sorghum,Production,2024,243000.0,57.32475000000001,21.465541922290388"
"40,Millet,Production,2015,99000.0,17.602,22.659009393680616"
"41,Millet,Production,2016,54000.0,10.23775,23.09421112372304"
"42,Millet,Production,2017,54000.0,8.985,22.15127008812857"
"43,Millet,Production,2018,72000.0,13.98275,21.30985086342229"
"44,Millet,Production,2019,135000.0,19.23125,21.357889641819945"
"45,Millet,Production,2020,153000.0,48.359750000000005,20.993829996718084"
"46,Millet,Production,2021,59180.0,37.79475,20.76988808227465"
"47,Millet,Production,2022,59459.0,39.00449999999999,20.70435411543469"
"48,Millet,Production,2023,86762.0,52.80125,21.23746214852199"
"49,Millet,Production,2024,65762.58,57.32475000000001,21.465541922290388"
"50,Wheat,Production,2015,238600.0,17.602,22.659009393680616"
"51,Wheat,Production,2016,214700.0,10.23775,23.09421112372304"
"52,Wheat,Production,2017,165200.0,8.985,22.15127008812857"
"53,Wheat,Production,2018,336600.0,13.98275,21.30985086342229"
"54,Wheat,Production,2019,366200.0,19.23125,21.357889641819945"
"55,Wheat,Production,2020,404700.0,48.359750000000005,20.993829996718084"
"56,Wheat,Production,2021,349102.0,37.79475,20.76988808227465"
"57,Wheat,Production,2022,368696.0,39.00449999999999,20.70435411543469"
"58,Wheat,Production,2023,309492.0,52.80125,21.23746214852199"
"59,Wheat,Production,2024,312200.0,57.32475000000001,21.465541922290388"
"60,Sugar cane,Production,2015,7164790.0,17.602,22.659009393680616"
"61,Sugar cane,Production,2016,7094619.0,10.23775,23.09421112372304"
"62,Sugar cane,Production,2017,4751605.24,8.985,22.15127008812857"
"63,Sugar cane,Production,2018,5262157.0,13.98275,21.30985086342229"
"64,Sugar cane,Production,2019,4606100.0,19.23125,21.357889641819945"
"65,Sugar cane,Production,2020,6810898.0,48.359750000000005,20.993829996718084"
"66,Sugar cane,Production,2021,7659100.0,37.79475,20.76988808227465"
"67,Sugar cane,Production,2022,8799800.0,39.00449999999999,20.70435411543469"
"68,Sugar cane,Production,2023,5556100.0,52.80125,21.23746214852199"
"69,Sugar cane,Production,2024,9365300.0,57.32475000000001,21.465541922290388"
"70,Tea leaves,Production,2015,1735000.0,17.602,22.659009393680616"
"71,Tea leaves,Production,2016,2057000.0,10.23775,23.09421112372304"
"72,Tea leaves,Production,2017,1912000.0,8.985,22.15127008812857"
"73,Tea leaves,Production,2018,2143000.0,13.98275,21.30985086342229"
"74,Tea leaves,Production,2019,1995000.0,19.23125,21.357889641819945"
"75,Tea leaves,Production,2020,3050000.0,48.359750000000005,20.993829996718084"
"76,Tea leaves,Production,2021,2430900.0,37.79475,20.76988808227465"
"77,Tea leaves,Production,2022,2418200.0,39.00449999999999,20.70435411543469"
"78,Tea leaves,Production,2023,2577800.0,52.80125,21.23746214852199"
