",Crop,Element,Year,Production"
"1322,""Onions and shallots, dry (excluding dehydrated)"",Production,2015,80007.64"
"1325,""Onions and shallots, dry (excluding dehydrated)"",Production,2016,52019.24"
"1328,""Onions and shallots, dry (excluding dehydrated)"",Production,2017,19212.05"
"1331,""Onions and shallots, dry (excluding dehydrated)"",Production,2018,34945.15"
"1334,""Onions and shallots, dry (excluding dehydrated)"",Production,2019,116534.32"
"1337,""Onions and shallots, dry (excluding dehydrated)"",Production,2020,196966.91"
"1340,""Onions and shallots, dry (excluding dehydrated)"",Production,2021,163971.14"
"1343,""Onions and shallots, dry (excluding dehydrated)"",Production,2022,158400.0"
"1346,""Onions and shallots, dry (excluding dehydrated)"",Production,2023,170113.0"
"1349,""Onions and shallots, dry (excluding dehydrated)"",Production,2024,186851.0"
