",Crop,Element,Year,Production"
"680,""Coffee, green"",Production,2015,42000.0"
"683,""Coffee, green"",Production,2016,46100.0"
"686,""Coffee, green"",Production,2017,38620.0"
"689,""Coffee, green"",Production,2018,41375.0"
"692,""Coffee, green"",Production,2019,44500.0"
"695,""Coffee, green"",Production,2020,36900.0"
"698,""Coffee, green"",Production,2021,34500.0"
"701,""Coffee, green"",Production,2022,51900.0"
"704,""Coffee, green"",Production,2023,48700.0"
"707,""Coffee, green"",Production,2024,49500.0"
