",Crop,Element,Year,Production"
"1136,""Mangoes, guavas and mangosteens"",Production,2015,682778.5"
"1139,""Mangoes, guavas and mangosteens"",Production,2016,801653.0"
"1142,""Mangoes, guavas and mangosteens"",Production,2017,564009.58"
"1145,""Mangoes, guavas and mangosteens"",Production,2018,676376.59"
"1148,""Mangoes, guavas and mangosteens"",Production,2019,806065.77"
"1151,""Mangoes, guavas and mangosteens"",Production,2020,819276.06"
"1154,""Mangoes, guavas and mangosteens"",Production,2021,752152.87"
"1157,""Mangoes, guavas and mangosteens"",Production,2022,758372.15"
"1160,""Mangoes, guavas and mangosteens"",Production,2023,788237.0"
"1163,""Mangoes, guavas and mangosteens"",Production,2024,782953.0"
